86,43	6
5,36	5
16,58	3
66,47	6
20,37	5
89,27	4
56,68	1
21,42	5
96,22	4
72,80	1
99,10	4
20,74	3
59,19	4
70,23	4
81,86	1
53,14	4
72,60	6
2,80	3
10,77	3
81,76	1
44,86	2
3,58	3
7,32	5
89,6	4
61,50	6
31,74	2
96,47	6
100,60	6
96,66	6
0,82	3
17,1	5
2,43	5
8,80	3
15,62	3
81,28	4
45,78	2
48,42	5
61,82	1
24,33	5
23,39	5
37,20	5
99,54	6
5,76	3
45,74	2
87,75	1
61,36	4
46,94	2
58,74	1
73,93	1
37,53	5
41,25	5
88,98	1
79,43	6
19,44	5
60,68	1
93,46	6
76,94	1
20,47	5
17,70	3
55,22	4
12,43	5
100,87	1
5,42	5
54,67	1
13,93	3
61,37	4
99,52	6
6,18	5
23,15	5
93,47	6
70,12	4
49,40	5
42,82	2
85,74	1
93,3	4
2,44	5
39,29	5
29,60	3
13,68	3
62,69	1
37,17	5
83,33	4
7,86	3
80,99	1
7,83	3
74,35	4
75,7	4
41,57	5
20,97	2
57,93	1
23,95	2
57,74	1
37,78	2
55,98	1
34,30	5
23,38	5
38,31	5
43,54	5
39,54	5
6,73	3
