86,43	3
5,36	5
16,58	1
66,47	3
20,37	5
89,27	3
56,68	4
21,42	5
96,22	3
72,80	2
99,10	3
20,74	1
59,19	3
70,23	3
81,86	2
53,14	3
72,60	2
2,80	1
10,77	1
81,76	2
44,86	4
3,58	1
7,32	5
89,6	3
61,50	4
31,74	4
96,47	3
100,60	2
96,66	2
0,82	1
17,1	5
2,43	5
8,80	1
15,62	1
81,28	3
45,78	4
48,42	5
61,82	4
24,33	5
23,39	5
37,20	5
99,54	2
5,76	1
45,74	4
87,75	2
61,36	3
46,94	4
58,74	4
73,93	2
37,53	4
41,25	5
88,98	2
79,43	3
19,44	5
60,68	4
93,46	3
76,94	2
20,47	5
17,70	1
55,22	3
12,43	5
100,87	2
5,42	5
54,67	4
13,93	1
61,37	3
99,52	2
6,18	5
23,15	5
93,47	3
70,12	3
49,40	5
42,82	4
85,74	2
93,3	3
2,44	5
39,29	5
29,60	4
13,68	1
62,69	4
37,17	5
83,33	3
7,86	1
80,99	2
7,83	1
74,35	3
75,7	3
41,57	4
20,97	1
57,93	4
23,95	1
57,74	4
37,78	4
55,98	4
34,30	5
23,38	5
38,31	5
43,54	4
39,54	4
6,73	1
