86,43	2
5,36	1
16,58	1
66,47	2
20,37	1
89,27	2
56,68	3
21,42	1
96,22	2
72,80	2
99,10	2
20,74	1
59,19	3
70,23	2
81,86	2
53,14	3
72,60	2
2,80	1
10,77	1
81,76	2
44,86	3
3,58	1
7,32	1
89,6	2
61,50	3
31,74	1
96,47	2
100,60	2
96,66	2
0,82	1
17,1	3
2,43	1
8,80	1
15,62	1
81,28	2
45,78	3
48,42	3
61,82	3
24,33	3
23,39	3
37,20	3
99,54	2
5,76	1
45,74	3
87,75	2
61,36	3
46,94	3
58,74	3
73,93	2
37,53	3
41,25	3
88,98	2
79,43	2
19,44	1
60,68	3
93,46	2
76,94	2
20,47	1
17,70	1
55,22	3
12,43	1
100,87	2
5,42	1
54,67	3
13,93	1
61,37	3
99,52	2
6,18	1
23,15	3
93,47	2
70,12	2
49,40	3
42,82	3
85,74	2
93,3	2
2,44	1
39,29	3
29,60	1
13,68	1
62,69	3
37,17	3
83,33	2
7,86	1
80,99	2
7,83	1
74,35	2
75,7	2
41,57	3
20,97	1
57,93	3
23,95	1
57,74	3
37,78	3
55,98	3
34,30	3
23,38	3
38,31	3
43,54	3
39,54	3
6,73	1
